New_name	Bin	ID	Sample	Subject	SNP_new	SNP_y_n	Abundance_v3	Growth_rate	Growth_rate2	GC	N50	Size	N_size	Bin_depth	Ndepth	Log2_depth	Culture_or_Unculture	New_species	Final_tax	Turst_tax	SpecI_id1	SpecI_id2	SpecI_tax	Pretein_get_annontation	Pretein_get_annontation_full_length	Protein_genus	Proteinsame_genus_num	Pretein_species	pretein_same_species_num	Protein_average_id	top_tax_name	nt_top_ant_length_percent	contig_num	ant_contig_num	all_tax_num	GTDBTK_ant	GTDBTK_ant_ani	protein_num	get_ko_num	ko_num	get_cazy_num	cazy_num	Domain	Phylum	Class	Order	Family	Genus	Species	lineage_final_tax
F1900372.64	F1900372.65	HC372.M064	F1900372	F1900372	3.756747944	Y	Low	1.43	Medium	0.645	38501	3297172	3499959.663	39.97004693	2.159508628	1.110703081	Y	N	k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Eggerthella;s_Eggerthella lenta	NA	FOUND	817	Eggerthella lenta	2969	2895	2714	Eggerthella	Eggerthella lenta 	2420	99.25	k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Eggerthella;s_Eggerthella lenta	0.926334143	155	147	4			2929	1582	1096			d_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Eggerthellales	f_Eggerthellaceae	g_Eggerthella	s_Eggerthella lenta	
F1900186.33	F1900186.33	ES186.M033	F1900186	F1900186	3.680054028	Y	Low	1.47	Medium	0.482	96093	5917057	6147016.902	39.37584624	7.216447309	2.851288766	Y	N	Eisenbergiella massiliensis	NA	UNASSINGED	1624	unnamed Lachnospiraceae bacterium 3_1_57FAA_CT1	5106	5007	4846	Eisenbergiella	Eisenbergiella massiliensis 	2521	98.85	Unclassified	0	103	0	0			5027	2519	1359			d_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Eisenbergiella	s_Eisenbergiella massiliensis	
YA37_bin.91	YA37_bin.91	YA37.M035	YA37	Y37	3.42009131	Y	Low	1.17	Low	0.426	40597	2137421	2681362.12	17.85927566	7.623755967	2.93050194	Y	N	Phascolarctobacterium faecium	f	UNASSINGED	77.10482686	Phascolarctobacterium succinatutens	2034	1887	1791	Phascolarctobacterium	Phascolarctobacterium sp. CAG:207 	1082	95.39	k_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Phascolarctobacterium;s_Phascolarctobacterium faecium	0.417259866	78	67	2	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__CAG-207;s__GCA_000436295.1	98.73	2124	1191	978	35	17	d_Bacteria	p_Firmicutes	c_Negativicutes	o_Acidaminococcales	f_Acidaminococcaceae	g_Phascolarctobacterium	s_Phascolarctobacterium faecium	d_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Phascolarctobacterium;s_Phascolarctobacterium faecium
F1900186.14	F1900186.14	ES186.M014	F1900186	F1900186	3.34301618	Y	Low	1.34	Medium	0.271	53977	2873580	2863785.852	17.87747953	3.276422004	1.712121188	Y	N	Romboutsia sp.	NA	UNASSINGED	1532	[Clostridium] difficile	2847	2731	2573	Romboutsia	Romboutsia ilealis 	1849	86.28	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptostreptococcaceae;g_Romboutsia;s_Romboutsia ilealis	0.667998803	97	67	4			2841	1501	1149			d_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Peptostreptococcaceae	g_Romboutsia	s_Romboutsia sp.	
F1900186.31	F1900186.31	ES186.M031	F1900186	F1900186	3.126918031	Y	Low	1.54	Medium	0.508	23289	3337373	3492912.389	26.58408908	4.872090289	2.284540869	Y	N	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__Holdemania filiformis	NA	FOUND	1281	Holdemania filiformis	3167	3107	2887	Holdemania	Holdemania filiformis DSM 12042 	2384	98.69	Unclassified	0	211	0	0			3126	1506	993			d_Bacteria	p_Firmicutes	c_Bacilli	o_Erysipelotrichales	f_Erysipelotrichaceae	g_Holdemania	s_Holdemania filiformis	
YA37_bin.127	YA37_bin.127.permissive_filtered2000	YA37.M039	YA37	Y37	2.453307033	Y	Low	1.41	Medium	0.599	69745	2409728	2449209.253	14.33031918	6.11731732	2.612899114	Y	N	Collinsella aerofaciens	s	FOUND	97.23250828	Collinsella aerofaciens	2077	1971	1926	Collinsella	Collinsella aerofaciens 	524	97.74	k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Coriobacteriales;f_Coriobacteriaceae;g_Collinsella;s_Collinsella aerofaciens	0.963004538	52	47	4	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	95.2	2089	1217	966	56	27	d_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Coriobacteriaceae	g_Collinsella	s_Collinsella aerofaciens	d_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Coriobacteriales;f_Coriobacteriaceae;g_Collinsella;s_Collinsella aerofaciens
YB7_bin.17	YB7_bin.17.strict_filtered2000	YB7.M032	YB7	Y7	2.315963063	Y	Low	1.38	Medium	0.276	14940	2968927	3136510.77	16.92795499	6.235702287	2.640552051	Y	N	Romboutsia timonensis	s	UNASSINGED	85.1340584	[Clostridium] difficile	2949	2454	1659	Romboutsia	Romboutsia ilealis 	1659	87.59	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptostreptococcaceae;g_Romboutsia;s_Romboutsia ilealis	0.64554568	297	180	8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	98.29	3042	1638	1164	106	40	d_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Peptostreptococcaceae	g_Romboutsia	s_Romboutsia timonensis	d_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptostreptococcaceae;g_Romboutsia;s_Romboutsia timonensis
YA37_bin.45	YA37_bin.45	YA37.M040	YA37	Y37	2.156642601	Y	Low	1.52	Medium	0.371	42016	2376108	2547285.592	14.01188411	5.981383966	2.580479332	Y	N	Anaerostipes hadrus 	s	FOUND	99.4878443	butyrate-producing bacterium	2244	2112	1088	Anaerostipes	Anaerostipes hadrus 	1020	98.7	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerostipes;s_Anaerostipes hadrus	0.947073113	92	80	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	98.48	2248	1431	1058	59	28	d_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Anaerostipes	s_Anaerostipes hadrus	d_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerostipes;s_Anaerostipes hadrus
F1900143.21	F1900143.21	ES143.M021	F1900143	F1900143	1.883323801	Y	Low	1.46	Medium	0.639	27818	3344122	3327021.111	18.79979248	4.973391151	2.314229902	Y	N	k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Eggerthella;s_Eggerthella lenta	NA	FOUND	817	Eggerthella lenta	2992	2837	2597	Eggerthella	Eggerthella lenta 	2006	98.74	k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Eggerthella;s_Eggerthella lenta	0.932322744	208	196	3			3017	1644	1127			d_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Eggerthellales	f_Eggerthellaceae	g_Eggerthella	s_Eggerthella lenta	
F1900186.30	F1900186.30	ES186.M030	F1900186	F1900186	1.78755945	Y	Low	1.42	Medium	0.509	52568	2540787	2643926.576	26.42193402	4.842371983	2.275713909	Y	N	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	NA	UNASSINGED	-	-	2184	2122	2039	Ruminococcus	Ruminococcus sp. OM06-36AC 	1121	96.91	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli	0.005029938	99	11	7			2185	1154	970			d_Bacteria	p_Firmicutes	c_Clostridia	o_Lachnospirales	f_Lachnospiraceae	g_Ruminococcus	s_Ruminococcus callidus	
F1900372.24	F1900372.76	HC372.M024	F1900372	F1900372	1.690524073	Y	Low	1.19	Low	0.523	71006	2631286	2631496.52	21.65323769	1.169884882	0.226366574	Y	N	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Christensenellaceae;g_Christensenella;s_Christensenella minuta	NA	UNASSINGED	-	-	2477	2445	2355	Christensenella	Christensenella minuta 	2307	99.53	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Christensenellaceae;g_Christensenella;s_Christensenella minuta	0.996613823	59	58	1			2464	1433	1027			d_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Christensenellaceae	g_Christensenella	s_Christensenella minuta	
F1900372.76	F1900372.90	HC372.M076	F1900372	F1900372	1.68879905	Y	Low	1.52	Medium	0.657	36308	2203783	2424297.061	170.3281358	9.202518064	3.202028677	Y	N	Actinomyces sp.	NA	UNASSINGED	878	Actinomyces odontolyticus	1923	1887	1729	Actinomyces	Actinomyces sp. HMSC035G02 	1185	97.31	k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces;s_Actinomyces meyeri	0.695175069	143	104	6			1906	1096	893			d_Bacteria	p_Actinobacteria	c_Actinobacteria	o_Actinomycetales	f_Actinomycetaceae	g_Actinomyces	s_	
YB16_bin.113	YB16_bin.113	YB16.M033	YB16	Y16	1.553384511	Y	Low	1.12	Low	0.417	126551	2586110	2738449.972	19.33603034	8.75852348	3.130687679	Y	N	Eubacterium rectale	s	FOUND	97.35689165	Eubacterium rectale	2350	2242	1087	[Eubacterium]	[Eubacterium] rectale 	949	98.42	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;s_[Eubacterium] rectale	0.980889831	38	29	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	97.72	2357	1428	1107	81	44	d_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_unclassified	s_Eubacterium rectale	d_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_unclassified;s_Eubacterium rectale
YB7_bin.12	YB7_bin.12.strict_filtered2000	YB7.M033	YB7	Y7	1.472834462	Y	Low	1.6	Medium	0.444	49218	3730951	3954918.007	16.41381112	6.046308584	2.596054611	Y	N	Erysipelotrichaceae bacterium I46	o	FOUND	99.79173506	unnamed Clostridium sp. HGF2	3699	3478	2124	Clostridium	Clostridium sp. HGF2 	2124	99.46	k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;s_Erysipelotrichaceae bacterium I46	0.584225577	129	126	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Eubacterium_D;s__Eubacterium_D innocuum	97.55	3694	1923	1193	74	26	d_Bacteria	p_Firmicutes	c_Erysipelotrichia	o_Erysipelotrichales	f_Erysipelotrichaceae	g_unclassified	s_Erysipelotrichaceae bacterium I46	d_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_unclassified;s_Erysipelotrichaceae bacterium I46
F1900372.44	F1900372.44	HC372.M044	F1900372	F1900372	1.434694596	Y	Low	1.08	Low	0.495	72273	3021975	3119071.702	21.82253298	1.179031597	0.237602382	Y	N	Roseburia hominis	NA	FOUND	1633	Roseburia hominis	2751	2694	2633	Roseburia	Roseburia hominis 	1085	97.77	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Roseburia;s_Roseburia hominis	0.883802811	57	52	1			2712	1572	1181			d_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Roseburia	s_Roseburia hominis	
F1900313.7	F1900313.7	HC313.M007	F1900313	F1900313	1.382974325	Y	Low	1.33	Medium	0.473	217415	4210329	4240436.096	15.95225093	9.552981535	3.255951076	Y	N	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium callanderi	NA	FOUND	1582	Eubacterium limosum	3995	3933	3849	Eubacterium	Eubacterium callanderi 	2173	97.15	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium callanderi	0.92552506	24	23	2			3972	2067	1344			d_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Eubacteriaceae	g_Eubacterium	s_Eubacterium callanderi	
F1900143.9	F1900143.9	ES143.M009	F1900143	F1900143	1.342678547	Y	Low	1.61	Medium	0.416	61862	3432182	3454219.923	21.47567225	5.681281771	2.506216457	Y	N	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	NA	FOUND	1620	unnamed Ruminococcus sp. 5_1_39BFAA	3058	3031	2886	Ruminococcus	Ruminococcus sp. AM18-15 	973	98.51	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus sp. SR1/5	0.02990226	86	11	4			3016	1767	1216			d_Bacteria	p_Firmicutes	c_Clostridia	o_Lachnospirales	f_Lachnospiraceae	g_Blautia	s_Blautia wexlerae	
F1900186.11	F1900186.11	ES186.M011	F1900186	F1900186	1.342043522	Y	Low	1.42	Medium	0.302	47828	3589801	3590052.304	23.77145579	4.356616418	2.123208096	Y	N	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Stoquefichus;s__	NA	UNASSINGED	1271	unnamed Coprobacillus sp. 29_1	3712	3633	3479	Candidatus	Candidatus Stoquefichus sp. KLE1796 	2885	97.85	k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;s_Erysipelotrichaceae bacterium GAM147	0.009267645	125	9	7			3669	1642	1141			d_Bacteria	p_Firmicutes	c_Bacilli	o_Erysipelotrichales	f_Erysipelatoclostridiaceae	g_Stoquefichus	s_	
YA37_bin.121	YA37_bin.121.permissive_filtered2500	YA37.M029	YA37	Y37	1.029373788	Y	Low	1.47	Medium	0.59	146800	1700782	2031754.868	21.79184687	9.302489406	3.217616842	Y	N	Bifidobacterium adolescentis 	s	FOUND	96.74132965	Bifidobacterium adolescentis	1339	1310	1298	Bifidobacterium	Bifidobacterium adolescentis 	730	99.34	k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Bifidobacterium;s_Bifidobacterium adolescentis	0.955471072	14	13	3	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	97.61	1346	869	720	81	47	d_Bacteria	p_Actinobacteria	c_Actinobacteria	o_Bifidobacteriales	f_Bifidobacteriaceae	g_Bifidobacterium	s_Bifidobacterium adolescentis	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Bifidobacterium;s_Bifidobacterium adolescentis
F1900186.53	F1900186.53	ES186.M053	F1900186	F1900186	1.022416921	Y	Low	1.34	Medium	0.398	88715	2849354	3170704.946	23.55892492	4.317665691	2.110251542	Y	N	Clostridiales	NA	UNASSINGED	1615	unnamed Lachnospiraceae bacterium 2_1_46FAA	2739	2670	2497	Clostridium	Clostridium nexile CAG:348 	1185	89.3	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerostipes;s_Anaerostipes hadrus	0.001510869	73	5	5			2720	1518	1128			d_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_	g_	s_Clostridiales	
F1900186.9	F1900186.9	ES186.M009	F1900186	F1900186	0.941790787	Y	Low	1.27	Low	0.434	99657	2613407	2595678.516	26.10303226	4.783926567	2.258195244	Y	N	Lachnospiraceae bacterium	NA	UNASSINGED	1594	Coprococcus catus	2552	2468	2363	Lachnospiraceae	Lachnospiraceae bacterium 	1611	91.35	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Faecalibacterium;s_Faecalibacterium prausnitzii	0.003682549	66	6	5			2521	1421	1123			d_Bacteria	p_Firmicutes	c_Clostridia	o_Lachnospirales	f_Lachnospiraceae	g_	s_	
YB7_bin.39	YB7_bin.39	YB7.M027	YB7	Y7	0.930561191	Y	Low	1.38	Medium	0.476	775365	3736118	3780348.072	26.25983535	9.673260321	3.274002224	Y	N	Dorea scindens	s	FOUND	97.59797314	Clostridium scindens	3442	3349	1698	Clostridium	Clostridium scindens (strain ATCC 35704 / DSM 5676 / VPI 13733 / 19) 	1698	87.91	k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnoclostridium;s_[Clostridium] scindens	0.721498893	9	7	1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea scindens_A	98.95	3485	2051	1367	65	28	d_Bacteria	p_Firmicutes	c_Clostridia	o_Clostridiales	f_Lachnospiraceae	g_Lachnoclostridium	s_Clostridium scindens	d_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnoclostridium;s_Clostridium scindens
